datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2017-03-20,105882027.09754422,0.0014440167236697901,1083431366.9113429,0.20868357674585142,1034236.9426962729,0.0002088147446632678,105305112.47037947,576914.6271647452,0.0011028051376342773
2017-03-21,106271348.8167265,0.0038751844332792556,1104424566.2003613,0.19826971455389994,1055227.606686446,0.0001982457699911175,105720495.45124368,550853.3654828249,0.004852652549743652
2017-03-22,105589548.1360221,-0.006203294821680713,1126962332.0383258,0.21207753631538756,1077795.7795830215,0.0002123636629050063,105000448.82621326,589099.309808855,-0.004702329635620117
2017-03-23,106091945.44394416,0.004972607796109326,1149606391.0509431,0.21445360276991543,1100453.8819098156,0.00021458660186333538,105497417.6081079,594527.835836261,0.0034579038619995117
2017-03-24,106975360.7939229,0.00853548669482583,1171731846.3164227,0.20854981189095076,1122584.9206960439,0.00020860244096401897,106391796.95537531,583563.8385475841,0.007978081703186035
2017-03-27,106650534.75647222,-0.002834195540033963,1193364714.8933635,0.2022229083070286,1144221.8676910696,0.000202261033143016,106080451.0287503,570083.727721917,-0.00331270694732666
2017-03-28,106777394.28026564,0.0013879287360074604,1214523389.5623846,0.19839257925274575,1165385.6857967107,0.00019844080626474966,106218187.4974098,559206.7828558357,-0.0023662447929382324
2017-03-29,106703711.03609668,-0.0004918537665887289,1235677487.349812,0.19811401027358727,1186550.0664023992,0.00019821031172700292,106145102.99732359,558608.0387730952,-0.0013315081596374512
2017-03-30,105581177.17641798,-0.010324276060163663,1256565164.3675125,0.19575398844970224,1207445.3567005056,0.00019582533817439336,105028237.86713031,552939.309287667,-0.008204519748687744
2017-03-31,106486564.0713164,0.008786873914321048,1278879358.158111,0.21134632504914527,1229786.953376852,0.00021160586833593738,105901160.58720908,585403.4841073249,0.005612850189208984
2017-04-05,108722117.27155048,0.021205197928475028,1301381407.1126373,0.21131350373419944,1252302.420998284,0.00021143951650419307,108132391.92125416,589725.3502963157,0.013842463493347168
2017-04-06,108806779.69402936,0.0009710054651057526,1321182994.040121,0.18213025485905723,1273209.7685679435,0.0001923007764596804,106026440.40695073,2780339.2870786367,0.002899646759033203
2017-04-07,108827346.86770672,0.00040425869784903274,1345631105.0728517,0.2246929015037483,1296628.6819668433,0.00021523395384694875,108128821.76168814,698525.1060185679,0.0009703636169433594
2017-04-10,108570222.81761473,-0.0021921800656823968,1364278305.115839,0.1713466383192761,1315183.591654335,0.0001704985945310917,108074833.33227569,495389.4853390502,-0.0035025477409362793
2017-04-11,109180611.08601913,0.005804272466683555,1384037744.0181997,0.1819968531846363,1334966.4782519203,0.00018221282119700843,108658109.09682904,522501.98919008113,0.003477811813354492
2017-04-12,108726197.97646928,-0.003951418312985696,1406975983.5685523,0.21009444188108117,1357961.3217335055,0.000210612884951417,108113482.96829598,612715.0081733037,-0.0022431612014770508
2017-04-13,109436882.69347581,0.0067542547446686856,1430638234.6793802,0.21763155110002974,1381641.0432793256,0.00021779223394664213,108812906.53686361,623976.1566121993,0.0014617443084716797
2017-04-14,108344750.84660377,-0.009789328353979328,1451483970.9381561,0.19048181696808045,1402459.3114290198,0.0001902308219798671,107796529.17630419,548221.6702995687,-0.007986783981323242
2017-04-17,107708548.46398103,-0.005669444911944155,1473407804.4701974,0.2023525215640712,1424407.0976286186,0.0002025735998107821,107134369.24476576,574179.2192152794,-0.0018815398216247559
2017-04-18,107945303.6586753,0.0024070266944066754,1495889531.6540937,0.20872741768880534,1446909.2543029503,0.00020891709149582245,107352767.61526255,592536.0434127445,-0.004942595958709717
2017-04-19,107995580.2829412,0.0006417321041032281,1514920403.3644547,0.17630106234669468,1465904.5968819847,0.0001759719222162546,107493097.84476061,502482.4381805924,-0.004869043827056885
2017-04-20,108234667.87300284,0.0024226182569885455,1537411891.5859983,0.20826304338212132,1488449.0712878755,0.00020875367627847156,107648757.54053411,585910.3324687262,0.004547476768493652
2017-04-21,108090444.301391,-0.0011250496319939218,1559852255.1538322,0.20733064561314404,1510903.269640206,0.00020745846773121714,107499318.59828201,591125.7031089896,0.0015137195587158203
2017-04-24,106399502.82363321,-0.015443152830770837,1581524320.3022325,0.20049936225603443,1532587.4965056984,0.0002006118765228674,105805737.91320576,593764.9104274567,-0.010248661041259766
2017-04-25,107177851.97081351,0.007515337284034666,1602808881.208615,0.2000438004081997,1553866.499898597,0.00019999156789454503,106616481.09074554,561370.8800679683,0.002829909324645996
2017-04-26,108080495.64723475,0.00861324230790217,1623314668.2362309,0.19132485537403648,1574371.6325424437,0.0001913187497863898,107540938.66734815,539556.9798866133,0.001223444938659668
2017-04-27,107730004.7010619,-0.0030261340649940798,1646692613.3768868,0.21630123918897962,1597796.5090757506,0.0002167354654790226,107120009.812408,609994.8886539112,0.0004470348358154297
2017-04-28,108081278.97760482,0.0034727393707814067,1669529870.0974338,0.2119860366099274,1620640.4612726774,0.00021204818713520056,107480737.08838779,600541.8892170349,-0.0020222067832946777
2017-05-02,107906841.61442514,-0.0014006389367695476,1692571265.7499592,0.21318581599408867,1643694.9767804758,0.00021330720478035295,107303114.53016979,603727.0842553456,-0.003828763961791992
2017-05-03,106759486.6541883,-0.010432869332743289,1714152272.9314234,0.19999665321108998,1665271.958344985,0.00019995934680034947,106185387.78540874,574098.8687795727,-0.00392526388168335
2017-05-04,106510041.50006676,-0.0021450832426236654,1734597245.8386831,0.191504975791841,1685709.1266535288,0.00019143187129349093,105971988.9970276,538052.5030391547,-0.0025606751441955566
2017-05-05,105466223.59278199,-0.009593213007133483,1756610008.5902963,0.20667312153473663,1707753.5184295278,0.00020697007968009448,104886957.43274747,579266.1600345187,-0.006415188312530518
2017-05-08,103654897.0157529,-0.01696249000809763,1778952644.1397943,0.2118463597953951,1730110.3315742668,0.00021198078762221936,103069632.4783814,585264.5373715078,-0.007018387317657471
2017-05-09,103561153.05505122,-0.0006924804956061638,1800908981.5172412,0.21182151552482936,1752075.2978184666,0.0002119047616328408,102980595.75041816,580557.3046330647,-0.0018696784973144531
2017-05-10,101966922.25937916,-0.01520929838084034,1820074789.0390942,0.1850675369717521,1771213.6160123765,0.0001848020964360677,101460481.92882586,506440.3305533037,-0.004423558712005615
2017-05-11,102971171.58540602,0.010004913868905431,1836030348.8055723,0.1564778009665819,1787134.5646679841,0.00015613836627439442,102549874.42524864,421297.16015737597,0.005677580833435059
2017-05-12,103458517.84272656,0.004947578267483824,1858054128.5171425,0.21388296716914956,1809246.2380607487,0.000214736542784936,102883544.99357401,574972.8491525487,0.008559107780456543
2017-05-15,104109572.59892619,0.006504766160799785,1879961633.8211312,0.21175158663389704,1831164.947770989,0.000211859885172145,103534109.64698109,575462.9519451014,0.004079341888427734
2017-05-16,106756793.89509049,0.02564454484911923,1902562713.4279912,0.2170893515616357,1853786.2553424824,0.00021728364651577337,106163496.3214488,593297.5736416806,0.008666753768920898
2017-05-17,107439564.80623578,0.0065600653416192775,1920178283.104501,0.1650065446309732,1871346.8878107732,0.00016449194311275056,106973702.2815011,465862.5247346824,-0.0054482221603393555
2017-05-18,106578591.68290454,-0.007852700748514881,1937455265.3090875,0.1608065170009303,1888629.2601679664,0.00016085668615990225,106119231.22531253,459360.45759201655,-0.0034779906272888184
2017-05-19,106152783.06551364,-0.0038025013165282322,1957950197.2458332,0.19229876857186018,1909172.6423708978,0.00019275336517912212,105617065.4577533,535717.6077603393,0.0016891956329345703
2017-05-22,105632948.12057456,-0.004698414571905241,1979014797.1768785,0.19843662429505016,1930257.8045066695,0.00019863032816349913,105077191.26549761,555756.8550769477,0.002171039581298828
2017-05-23,104938941.01129292,-0.006401193474828199,1996878816.5429745,0.16911408498894837,1948087.9755520262,0.00016879365162661598,104468710.9687394,470230.04255350796,0.0037963390350341797
2017-05-24,105266881.10848874,0.0033203908959658192,2017334938.7029388,0.19493356768068543,1968586.1827223983,0.00019533461051571152,104732979.25228988,533901.8561988696,-5.900859832763672e-06
2017-05-25,106489270.23216148,0.011821271687125722,2039302552.3225663,0.2086849480891099,1990585.4602894671,0.000208985744950458,105914039.75864775,575230.473513722,0.017957687377929688
2017-05-26,106242372.13350432,-0.0021144833668462217,2059867515.013645,0.1931176976445061,2012313.7682931302,0.00020404222844510383,103362179.34282504,2880192.7906792727,-0.0015004277229309082
2017-05-31,106358931.85439707,0.001217182667070048,2073118716.3472567,0.12472614332217892,2025070.4212696804,0.00012007123636622245,104480592.4308166,1878339.423580475,0.0035772323608398438
2017-06-01,104517798.53313039,-0.017102099260998583,2095904714.4772892,0.21423680863235864,2047242.7326686785,0.00020846684911570492,103889004.88301696,628793.6501134294,0.0013914108276367188
2017-06-02,105349650.14954533,0.008100923441310309,2110850538.9515054,0.14299788824463852,2062081.8004249283,0.00014197646682680623,104949209.00312196,400441.1464233631,-0.0032106637954711914
2017-06-05,105908161.40604492,0.0054083728299145805,2122151888.2999766,0.10727467374052727,2073340.7294351473,0.00010687201138529393,105603819.86513618,304341.5409087355,-0.005093872547149658
2017-06-06,106555970.24383104,0.006256618250152911,2136919535.5019016,0.13943823597604393,2088158.8271422249,0.0001399145968578004,106165545.79032338,390424.4535076553,0.00695645809173584
2017-06-07,108967249.27105024,0.022797584078737398,2154812292.646052,0.16791886088791108,2106098.4906481975,0.00016835906486442224,108500951.75740369,466297.5136465528,0.011735320091247559
2017-06-08,109416436.27391228,0.0043195136185880615,2176251021.5876827,0.19674470159656082,2127597.004992543,0.0001972933563815023,108852066.46918356,564369.8047287217,0.007671475410461426
2017-06-09,109615812.50309531,0.0020048912966783915,2196249627.4826317,0.18277515313041817,2147588.8366086422,0.00018271324032206694,109084983.08768351,530829.4154118001,0.0042656660079956055
2017-06-12,109061160.75113922,-0.004822625962951531,2222179029.8336077,0.236548010354289,2173604.525237278,0.00023733518034089478,108383774.46903524,677386.2821039851,-0.0004977583885192871
2017-06-13,110295586.89846553,0.011501518104418122,2242185188.1221113,0.18343980708361082,2193547.2927790554,0.00018285856673837966,109764924.87735415,530662.0211113854,0.0022045373916625977
2017-06-14,109791041.10556598,-0.004362347876686861,2265531729.086095,0.21167248500591043,2216945.366364152,0.00021213970788002825,109180711.9158138,610329.1897521783,-0.013111770153045654
2017-06-15,111183921.81169555,0.012896646321491942,2288576299.2019,0.20989481367288793,2240000.8866414544,0.0002099945500574493,110574747.81922586,609173.9924696884,-0.001841425895690918
2017-06-16,110886665.74170457,-0.002474564271178183,2310701917.4711967,0.19900016035384382,2262125.1961877416,0.00019898838956011617,110302233.50480102,584432.2369035529,-0.0028423666954040527
2017-06-19,111818202.83039394,0.00860086223294504,2332873502.830262,0.1999481651897734,2284309.043013397,0.00020005874175466515,111231431.50713754,586771.3232564032,0.009921073913574219
2017-06-20,111617743.81426182,-0.0015944099239151147,2355038970.0073557,0.19822771799251798,2306484.00687838,0.00019831264770565205,111034154.07908958,583589.7351722494,-0.002020418643951416
2017-06-21,113688815.71027544,0.018785286717396318,2380680504.9310784,0.22972633245832036,2332183.4311645604,0.0002302449718831932,113015146.67447706,673669.0357983895,0.011693239212036133
